lower_rate,upper_rate,fee_rate,upper_tick,lower_tick,iv
0.55,1.01,0.0002387005960706,203240,197162,0.304313688879793
0.55,1.04,0.0006211963993011,203533,197162,0.5092226137471736
0.55,1.09,0.0005849776446978,204003,197162,0.5174438526947123
0.55,1.16,0.0005441225959736,204625,197162,0.5294530403989569
0.55,1.25,0.0005033254027711,205372,197162,0.5431549912431509
0.55,1.36,0.0004654334697835,206216,197162,0.5541040632049311
0.55,1.49,0.0004317807930449,207129,197162,0.5606926067105445
0.55,1.64,0.0004026021023272,208088,197162,0.565945129547392
0.55,1.81,0.0003776106829063,209074,197162,0.5701181884357158
0.55,2.0,0.0003562873891536,210073,197162,0.5734400729828312
0.55,2.21,0.0003381409395343,211071,197162,0.5761180398087604
0.55,2.44,0.0003226307347777,212061,197162,0.5782908808849782
0.55,2.69,0.0003093142800162,213037,197162,0.5800718956241232
0.55,2.96,0.0002978407272685,213993,197162,0.5815531545329535
0.55,3.25,0.0002878791117092,214928,197162,0.582792145739067
0.55,3.56,0.0002791912951783,215839,197162,0.5838420313244623
0.55,3.89,0.0002715707321601,216725,197162,0.5847399390971066
0.55,4.24,0.00026483848266,217587,197162,0.585511331819219
0.55,4.61,0.0002588664316061,218424,197162,0.5861814144545665
0.55,5.0,0.0002535438621923,219236,197162,0.5867683987842361
0.608,1.01,0.0002934762062932,203240,198165,0.31229734572925655
0.608,1.04,0.0007569117542252,203533,198165,0.5217819342527334
0.608,1.09,0.0007038148740562,204003,198165,0.5297199080189948
0.608,1.16,0.0006455018414058,204625,198165,0.5419132071300542
0.608,1.25,0.0005888770293616,205372,198165,0.5533568635228355
0.608,1.36,0.000537664494539,206216,198165,0.560608067270928
0.608,1.49,0.000493254464546,207129,198165,0.5664237227067992
0.608,1.64,0.0004555387136559,208088,198165,0.5710216253343537
0.608,1.81,0.0004238022072191,209074,198165,0.5746503299296967
0.608,2.0,0.0003971273226406,210073,198165,0.5775218927248059
0.608,2.21,0.0003747131767332,211071,198165,0.5798296207651771
0.608,2.44,0.0003557604927133,212061,198165,0.5816957595034241
0.608,2.69,0.0003396371240937,213037,198165,0.583221129684614
0.608,2.96,0.000325853865794,213993,198165,0.5844885543259984
0.608,3.25,0.0003139676576701,214928,198165,0.5855465260285916
0.608,3.56,0.0003036620398768,215839,198165,0.5864424066675047
0.608,3.89,0.0002946685848999,216725,198165,0.5872082798527365
0.608,4.24,0.0002867591178394,217587,198165,0.5878652719136681
0.608,4.61,0.0002797705856281,218424,198165,0.588435795314285
0.608,5.0,0.0002735639896449,219236,198165,0.5889356339031444
0.662,1.01,0.0003604805381567,203240,199016,0.3192013643448937
0.662,1.04,0.0009196592604652,203533,199016,0.5328094261751263
0.662,1.09,0.0008424390873597,204003,199016,0.5405340193064004
0.662,1.16,0.0007602345458683,204625,199016,0.5518622588398041
0.662,1.25,0.0006828974650334,205372,199016,0.5597253219660864
0.662,1.36,0.0006149693910441,206216,199016,0.5661456888899931
0.662,1.49,0.0005575527063968,207129,199016,0.5712440216748902
0.662,1.64,0.0005098387718762,208088,199016,0.5752441378250323
0.662,1.81,0.0004704127837138,209074,199016,0.5783831833746929
0.662,2.0,0.0004377736726481,210073,199016,0.5808549835733555
0.662,2.21,0.0004106929441534,211071,199016,0.5828380521692437
0.662,2.44,0.0003880359031221,212061,199016,0.5844379737922872
0.662,2.69,0.000368932876578,213037,199016,0.5857433920886276
0.662,2.96,0.0003527260225072,213993,199016,0.5868283196141288
0.662,3.25,0.0003388403117833,214928,199016,0.5877328081699622
0.662,3.56,0.0003268683171536,215839,199016,0.5884988985273144
0.662,3.89,0.0003164712856312,216725,199016,0.5891540875335977
0.662,4.24,0.0003073661484179,217587,199016,0.5897155917056688
0.662,4.61,0.0002993511462508,218424,199016,0.5902033570543355
0.662,5.0,0.0002922563906877,219236,199016,0.590631028990184
0.712,1.01,0.0004438049467405,203240,199744,0.3251960639983278
0.712,1.04,0.0011171963871246,203533,199744,0.5425030167539734
0.712,1.09,0.0010052595471277,204003,199744,0.5500323243765924
0.712,1.16,0.0008903751759687,204625,199744,0.5581746290848066
0.712,1.25,0.000786109627442,205372,199744,0.5651807083910162
0.712,1.36,0.000697429967382,206216,199744,0.5708203816149633
0.712,1.49,0.000624496133781,207129,199744,0.5752586220406959
0.712,1.64,0.0005652454617139,208088,199744,0.5787192320992741
0.712,1.81,0.0005171884750946,209074,199744,0.581423875971472
0.712,2.0,0.0004780060094082,210073,199744,0.5835461209728385
0.712,2.21,0.0004459015197505,211071,199744,0.5852490150977403
0.712,2.44,0.0004193189201283,212061,199744,0.5866216269075544
0.712,2.69,0.0003970997912577,213037,199744,0.5877409271208813
0.712,2.96,0.0003783865419818,213993,199744,0.5886726978877099
0.712,3.25,0.0003624526277923,214928,199744,0.5894492149078161
0.712,3.56,0.0003487875883849,215839,199744,0.5901077384166288
0.712,3.89,0.000336974583341,216725,199744,0.5906716759366845
0.712,4.24,0.0003266706414948,217587,199744,0.59115478389582
0.712,4.61,0.0003176320429592,218424,199744,0.5915748764758911
0.712,5.0,0.0003096558421145,219236,199744,0.591943752925196
0.758,1.01,0.0005493615030394,203240,200370,0.33042023828990075
0.758,1.04,0.0013600286689379,203533,200370,0.5508288660140493
0.758,1.09,0.0011976782085366,204003,200370,0.5563099971392115
0.758,1.16,0.0010380950776424,204625,200370,0.5636243336014815
0.758,1.25,0.0008990638544619,205372,200370,0.5698101155437281
0.758,1.36,0.0007849191511572,206216,200370,0.5747213434675164
0.758,1.49,0.0006937353979823,207129,200370,0.5785593907098718
0.758,1.64,0.0006213790103465,208088,200370,0.5815403895263698
0.758,1.81,0.0005637894050871,209074,200370,0.5838661428784927
0.758,2.0,0.0005175434949159,210073,200370,0.5856881919215656
0.758,2.21,0.0004801163409777,211071,200370,0.5871537864645874
0.758,2.44,0.0004494381027835,212061,200370,0.5883359616400732
0.758,2.69,0.0004240091747349,213037,200370,0.589300748408794
0.758,2.96,0.0004027417097745,213993,200370,0.5901064235616628
0.758,3.25,0.0003847393769531,214928,200370,0.5907782500903116
0.758,3.56,0.0003693777918343,215839,200370,0.5913492972735186
0.758,3.89,0.0003561553262146,216725,200370,0.5918394077528909
0.758,4.24,0.0003446649893131,217587,200370,0.5922593388209318
0.758,4.61,0.0003346185117778,218424,200370,0.5926251072236444
0.758,5.0,0.0003257782615119,219236,200370,0.5929469537384109
0.8,1.01,0.0006857667795832,203240,200909,0.33494997911552665
0.8,1.04,0.0016621732757411,203533,200909,0.5568272765646718
0.8,1.09,0.0014259391652919,204003,200909,0.5617448668484245
0.8,1.16,0.0012053329566557,204625,200909,0.5682541225075537
0.8,1.25,0.0010218560440951,205372,200909,0.5736643297552474
0.8,1.36,0.0008769161078745,206216,200909,0.5779086720800782
0.8,1.49,0.0007646340497361,207129,200909,0.5812135837476674
0.8,1.64,0.0006776596032719,208088,200909,0.5837790708712086
0.8,1.81,0.0006097355313439,209074,200909,0.5857831780626698
0.8,2.0,0.0005560040261435,210073,200909,0.5873544329321165
0.8,2.21,0.0005130383885645,211071,200909,0.5886245833536514
0.8,2.44,0.0004781614421278,212061,200909,0.5896516052582156
0.8,2.69,0.0004494820578241,213037,200909,0.5904916248574766
0.8,2.96,0.0004256542963332,213993,200909,0.5911963172416878
0.8,3.25,0.0004055963440977,214928,200909,0.5917848101635944
0.8,3.56,0.0003885609645581,215839,200909,0.592286626674316
0.8,3.89,0.0003739566023319,216725,200909,0.5927185984933719
0.8,4.24,0.0003613093395678,217587,200909,0.5930889570232307
0.8,4.61,0.0003502846350287,218424,200909,0.5934122561551419
0.8,5.0,0.0003406092117786,219236,200909,0.5936974616778964
0.838,1.01,0.0008663633205844,203240,201373,0.33889000762959204
0.838,1.04,0.0020432632572772,203533,201373,0.5620576910520163
0.838,1.09,0.0016975525263946,204003,201373,0.5664119652758316
0.838,1.16,0.0013938496796756,204625,201373,0.5721347004871588
0.838,1.25,0.0011541977926094,205372,201373,0.5768180306552001
0.838,1.36,0.000972619646571,206216,201373,0.5804620658934868
0.838,1.49,0.0008363956852587,207129,201373,0.5833035538469948
0.838,1.64,0.0007334290888794,208088,201373,0.5855176575083855
0.838,1.81,0.0006545160052643,209074,201373,0.5872555621520257
0.838,2.0,0.0005930004612495,210073,201373,0.5886226310111953
0.838,2.21,0.0005443767543663,211071,201373,0.5897359657168588
0.838,2.44,0.0005052712243606,212061,201373,0.5906398298803518
0.838,2.69,0.0004733561748369,213037,201373,0.5913816690285915
0.838,2.96,0.0004470041801808,213993,201373,0.5920075467555626
0.838,3.25,0.0004249358005717,214928,201373,0.5925313704382317
0.838,3.56,0.0004062745167723,215839,201373,0.5929797620433828
0.838,3.89,0.0003903355589538,216725,201373,0.5933670836264384
0.838,4.24,0.0003765765382551,217587,201373,0.5936994939523984
0.838,4.61,0.0003646158682639,218424,201373,0.593990396374262
0.838,5.0,0.0003541443798914,219236,201373,0.5942477436692511
0.872,1.01,0.0011122531526682,203240,201771,0.3423263590022017
0.872,1.04,0.0025302520428351,203533,201771,0.5665977311760271
0.872,1.09,0.0020206602771558,204003,201771,0.5703658477078986
0.872,1.16,0.0016045136173378,204625,201771,0.5753220599170643
0.872,1.25,0.0012949895951342,205372,201771,0.5793359866134333
0.872,1.36,0.0010707148357162,206216,201771,0.5824532727361154
0.872,1.49,0.0009079265277083,207129,201771,0.5849037921420447
0.872,1.64,0.0007878589807216,208088,201771,0.5868300651999497
0.872,1.81,0.0006975198930444,209074,201771,0.5883547324250297
0.872,2.0,0.0006280840187797,210073,201771,0.5895609005493975
0.872,2.21,0.0005738000277943,211071,201771,0.5905524773796889
0.872,2.44,0.0005305210288333,212061,201771,0.591361707328812
0.872,2.69,0.0004954472215907,213037,201771,0.5920287273775418
