lower_rate,upper_rate,fee_rate,upper_tick,lower_tick
0.20000,1,0.0000176564561374095058098554095,201339,185244
0.20000,1.0100,0.00002004278776279897360999913798,201439,185244
0.20000,1.0400,0.00001981179031523823637178157715,201732,185244
0.20000,1.0900,0.00001945956499415437384248689249,202201,185244
0.20000,1.1600,0.00001902241579664130254118828261,202824,185244
0.20000,1.2500,0.0000185398363173368673466590675,203571,185244
0.20000,1.3600,0.00001804338937957936746255771925,204414,185244
0.20000,1.4900,0.00001755610848385582883648100689,205327,185244
0.20000,1.6400,0.00001709293102203664269820357776,206287,185244
0.20000,1.8100,0.00001666285118867255846738241451,207273,185244
0.20000,2.0000,0.00001626857830021128089526269199,208271,185244
0.20000,2.2100,0.00001591009063125537216350630778,209270,185244
0.20000,2.4400,0.00001558624298459216775214175373,210260,185244
0.20000,2.6900,0.00001529434347247434437426377431,211235,185244
0.20000,2.9600,0.00001503106696352671711753557535,212192,185244
0.20000,3.2500,0.0000147937567483073720484056324,213127,185244
0.20000,3.5600,0.0000145795982784612534515313789,214038,185244
0.20000,3.8900,0.00001438595646895360468853407504,214924,185244
0.20000,4.2400,0.00001421018545949153646655697349,215786,185244
0.20000,4.6100,0.00001405042529088919470841956565,216623,185244
0.20000,5.0000,0.0000139048920511265316391896766,217435,185244
0.27800,1,0.00002434339278046970790802406811,201339,188538
0.27800,1.0100,0.00002759149410594530379818532995,201439,188538
0.27800,1.0400,0.00002715562078784084280951421393,201732,188538
0.27800,1.0900,0.0000264982053179435892714793901,202201,188538
0.27800,1.1600,0.00002569415776468809415523956769,202824,188538
0.27800,1.2500,0.00002482146945259612082450594028,203571,188538
0.27800,1.3600,0.00002393962174187617141816438986,204414,188538
0.27800,1.4900,0.00002308934196934343378991065305,205327,188538
0.27800,1.6400,0.00002229479838018695656126351537,206287,188538
0.27800,1.8100,0.00002156867529442487583437030036,207273,188538
0.27800,2.0000,0.00002091263542186572783548057129,208271,188538
0.27800,2.2100,0.00002032396901007194215858571436,209270,188538
0.27800,2.4400,0.00001979847601022412586496286218,210260,188538
0.27800,2.6900,0.00001932985532708729084529985898,211235,188538
0.27800,2.9600,0.00001891121647448560597418763716,212192,188538
0.27800,3.2500,0.00001853709782492538292419558519,213127,188538
0.27800,3.5600,0.00001820207540215404023561282913,214038,188538
0.27800,3.8900,0.00001790124687066547691934407891,214924,188538
0.27800,4.2400,0.00001762988949465421254059735223,215786,188538
0.27800,4.6100,0.00001738464753696800497073102339,216623,188538
0.27800,5.0000,0.00001716239390774031162792357527,217435,188538
0.35200,1,0.00003183993517670388237625154084,201339,190898
0.35200,1.0100,0.00003602691193623449553310481244,201439,190898
0.35200,1.0400,0.0000352873552325967984425990287,201732,190898
0.35200,1.0900,0.00003418525361737595008750655437,202201,190898
0.35200,1.1600,0.00003285871390833960219464583047,202824,190898
0.35200,1.2500,0.00003144488188745032297675354137,203571,190898
0.35200,1.3600,0.00003004290543966476330921772638,204414,190898
0.35200,1.4900,0.00002871582795437675847772757459,205327,190898
0.35200,1.6400,0.00002749708902143015314324544269,206287,190898
0.35200,1.8100,0.00002640089218062318503381654556,207273,190898
0.35200,2.0000,0.00002542461966029005524123025952,208271,190898
0.35200,2.2100,0.00002455978903014001127575019592,209270,190898
0.35200,2.4400,0.00002379654198259927988597151815,210260,190898
0.35200,2.6900,0.00002312276720998874717687379445,211235,190898
0.35200,2.9600,0.00002252625375934380977508769397,212192,190898
0.35200,3.2500,0.00002199743225025205108874423046,213127,190898
0.35200,3.5600,0.00002152724413344550074256606991,214038,190898
0.35200,3.8900,0.00002110773170274176124021980359,214924,190898
0.35200,4.2400,0.00002073147816424489804122170231,215786,190898
0.35200,4.6100,0.00002039318392765836865813103987,216623,190898
0.35200,5.0000,0.00002008802409880942965620932748,217435,190898
0.42200,1,0.0000404675980945906681457197832,201339,192712
0.42200,1.0100,0.00004569966901831852733984631309,201439,192712
0.42200,1.0400,0.00004451620112262216760392486519,201732,192712
